============================================================
CONVERSATIONAL ARABIC VOCABULARY - CORE CURRICULUM
============================================================

~90 core words/phrases organized by lesson (10-12 per lesson).
Additional vocabulary introduced dynamically by LLM based on context.

Format: english | arabic | transliteration
Gender: (m) = masculine, (f) = feminine

============================================================

# ========== LESSON 1: GENDER & DEFINITE ARTICLE ==========

book (m) | كِتَاب | kitaab
table (f) | طَاوِلَة | taawila
house (m) | بَيْت | bayt
school (f) | مَدْرَسَة | madrasa
pen (m) | قَلَم | qalam
door (m) | بَاب | baab
chair (m) | كُرْسِي | kursi
window (f) | نَافِذَة | naafidha
room (f) | غُرْفَة | ghurfa
office (m) | مَكْتَب | maktab

# Essential phrases
what is this? | مَا هَذَا؟ | maa haadhaa?
this is | هَذَا | haadhaa


# ========== LESSON 2: SUBJECT PRONOUNS & NOMINAL SENTENCES ==========

I | أَنَا | ana
you (m.sing) | أَنْتَ | anta
you (f.sing) | أَنْتِ | anti
he | هُوَ | huwa
she | هِيَ | hiya
we | نَحْنُ | nahnu
you (m.pl) | أَنْتُمْ | antum
they (m) | هُمْ | hum
student (m) | طَالِب | taalib
teacher (m) | مُعَلِّم | mu'allim

# Essential phrases
I am a student | أَنَا طَالِبٌ | ana taalibun
he is a teacher | هُوَ مُعَلِّمٌ | huwa mu'allimun


# ========== LESSON 3: NOUN-ADJECTIVE PHRASES & AGREEMENT ==========

big (m) | كَبِير | kabiir
big (f) | كَبِيرَة | kabiira
small (m) | صَغِير | saghiir
small (f) | صَغِيرَة | saghiira
beautiful (m) | جَمِيل | jamiil
beautiful (f) | جَمِيلَة | jamiila
new (m) | جَدِيد | jadiid
new (f) | جَدِيدَة | jadiida
old (m) | قَدِيم | qadiim
old (f) | قَدِيمَة | qadiima

# Essential phrases
this is beautiful | هَذَا جَمِيلٌ | haadhaa jamiilun
the big house | الْبَيْتُ الْكَبِيرُ | al-baytu al-kabiiru


# ========== LESSON 4: PRESENT TENSE VERBS ==========

he writes / to write | يَكْتُبُ | yaktubu
he reads / to read | يَقْرَأُ | yaqra'u
he eats / to eat | يَأْكُلُ | ya'kulu
he drinks / to drink | يَشْرَبُ | yashrabu
he goes / to go | يَذْهَبُ | yadh-habu
he comes / to come | يَجِيءُ | yajii'u
he sits / to sit | يَجْلِسُ | yajlisu
he stands / to stand | يَقُومُ | yaquumu
he opens / to open | يَفْتَحُ | yaftahu
he studies / to study | يَدْرُسُ | yadrusu

# Essential phrases
I write in the book | أَكْتُبُ فِي الْكِتَابِ | aktubu fii al-kitaabi
we study Arabic | نَدْرُسُ الْعَرَبِيَّةَ | nadrusu al-'arabiyyata


# ========== LESSON 5: PAST TENSE VERBS ==========

he wrote | كَتَبَ | kataba
he read | قَرَأَ | qara'a
he ate | أَكَلَ | akala
he drank | شَرِبَ | shariba
he went | ذَهَبَ | dhahaba
he came | جَاءَ | jaa'a
he sat | جَلَسَ | jalasa
he stood | قَامَ | qaama
he opened | فَتَحَ | fataha
he studied | دَرَسَ | darasa

# Essential phrases
I went yesterday | ذَهَبْتُ أَمْسِ | dhahabtu amsi
she wrote the lesson | كَتَبَتِ الدَّرْسَ | katabati ad-darsa


# ========== LESSON 6: NEGATION ==========

no / not (general) | لَا | laa
not (past) | مَا | maa
not (future) | لَنْ | lan
is not (m) | لَيْسَ | laysa
is not (f) | لَيْسَتْ | laysat
food | طَعَام | ta'aam
water | مَاء | maa'
bread | خُبْز | khubz
milk | حَلِيب | haliib
time | وَقْت | waqt

# Essential phrases
I don't know | لَا أَعْرِفُ | laa a'rifu
I didn't eat | مَا أَكَلْتُ | maa akaltu


# ========== LESSON 7: ASKING QUESTIONS ==========

who? | مَنْ | man
what? | مَا / مَاذَا | maa / maadha
where? | أَيْنَ | ayna
when? | مَتَى | mataa
how? | كَيْفَ | kayfa
why? | لِمَاذَا | limaadha
yes/no question | هَلْ | hal
