And this?	و هذه؟
It was, um...	...لقد كان
What is she doing here?	ما الذي تفعله هناك؟
Okay.	حسناً؟
Ah, Kitty.	(كيتي)
Ugh. Disgusting.	مقرف
I don't like it.	لا أحب ذلك
Did you get the part?	هل حصلت على جزء ?
Leave him!	إتركْه!
- It's none of your business	-هذا ليس من شأنك
- Uh-huh.	-نعم .
I was wrong.	كنت على خطأ
Madame Gao and Mr. Nobu have expressed their disappointment.	.
No.	لا .
Hey!	مرحبا!
- Others?	ـ الآخرون؟
Shut up!	اخرسي
He's doing it again now and he knows he can get away with it because we're protecting him.	ويتلاعب يحياة أفراد طاقمه الآن ثانيًا ويعلم أنه يمكنه الإفلات من ذلك
Maybe.	-لا يهم
Shut up!	أسكت
Oh!	أوه!
Come along.	اتبعيني.
Straight up?	بصراحة
-I'm leaving.	-سأرحل
Hey.	-مرحبا .
Do I make myself clear?	هل كلامي واضح؟
- I'm kidding.	-حسنا
Dad!	يا أبي!
Thank you.	شكراً لكم.
- George.	-جورج) )
I bet you do.	أشك في ذلك
Wait.	أنتظر
I love you.	أحبك
That's enough!	هذا يكفي !
Yeah, of course.	أجل، بالطبع.
I'm him.	أنا هو
You okay?	-أأنتِ بخير ؟
Sorry.	-متأسف
This...	هذا ...
No, no...	ـ لا .. لا ..
You want me to teach you how to be a killer?	أهذا ما تردينه؟ تريدين أن تكوني قاتلة؟
She's all yours.	انها لك
I decided to stay late and help Harvey.	.(لقد قررتُ بأن أبقى بالعمل لوقتٍ متأخر وأساعدَ (هارفي
You want the truth?	تريدينَ الحقيقة ؟
How about you?	ماذا عنك؟
May make it easier for him to take last night's numbers.	قد يجعل من الأسهل بالنسبة له أن يأخذ أرقام الليلة الماضية.
Just...	فقط
- Hey.	- اهلا
- Goodbye.	-وداعاً .
- That's okay.	-لا بأس .
Oh. No.	اوه لا
I'm sorry.	أنا آسفة
I must go.	أنا يَجِبُ أَنْ أَذْهبَ
Patient?	أرجوك.
Okay?	حسناً؟
So...	لذا...
Maybe we have something in common.	ربما لدينا شيء مشترك.
Sorta.	حسنا...
RIGHT. ALRIGHT, ALRIGHT, RELAX.	حسناً،حسناً إهدأ
- Have a seat.	-تفضلي بالجلوس
How's it goin'?	كيف الحال؟
Baby?	أين، عزيزتي ؟
- Are you all right?	-هل أنت بخير؟
So?	لذا؟
]	]
Silly.	أحمق
Pervert.	أيها المنحرف
What's up?	هنري مالذي يحدث
Some Yale grad, whatever. I'm actually adapting this for the screen.	بعض غراد ييل, لايهم فى الواقع, أنا أُكيف ذلك للشاشه.
Help us.	ساعدونا.
- What did you do?	-ماذا فعلت؟
I promise.	أعدك.
What happened?	ماذا حدث ؟
Surprise.	-مفاجئه ..
Is this all you've got?	أهذا كل ما لديك؟
Ma is the greatest. He bought it and delivered it.	ما ) الأعظم هو الذي اشتراها )
- That right?	أهذا صحيح؟
Excuse me.	أعذرني
Kelly?	كيلي)؟ )
Nicole.	نيكول
Enough.	كفى
- Really?	-حقاً؟
# Ooh, ooh, ooh, honey	اوة اوة ،عسلي
Go!	اذهب
What is your name?	ما هو اسمك؟
Owen.	(أوين)
Get out!	ابتعدي
What was that?	ماذا كان هذا؟
Smells good.	رائحة طيبة
-From what?	من ماذا ؟
_	...الأكاذيب الصغيرة دوامة ! عند الشياطين الكبيرة
- Krakozhia.	-قراقوزيا
Uh,one call.	اوه..
Monk.	Monk.
It wasn't easy.	لم يكن الأمر سهلاً.
So...	هكذا...
Nothing.	لا شيء..
And you?	و أنت؟
I don't think so.	لا أظن ذلك
♪	- الموسم الثاني _BAR_ _BAR_ _BAR__BAR_ ".الحلقة
Just take your time.	خذ وقتك
No.	كلّا
- Over here.	-من هنا
Okay.	حسناً -مره أخرى؟
Excuse me.	بعد اذنك
What are you waiting for?	ماذا تنتظر؟
(Miss Prescott) Goodbye.	إلى اللقاء.
Mom.	..أجل، هناك شئ
Like you.	-مثلك .
Yes, Sir!	نعم، سيدي!
This is why you've got me out of bed?	لهذا اخرجتنى من السرير؟
- That's sad.	-هذا مؤسف .
What are you doing here?	ـ ماذا تفعل هنا؟
Nothing.	لا شيء.
- All right.	- حسنا
Carter.	كارتر
How about everyone out here?	ماذا عنكم؟
I agree.	-أوافقكِ الرأي .
Number three:	الكلمة الثالثة:
What was that you said?	ماذا قلت ؟
Chief!	أيها المعلم ..
Killian. Thank God.	(كيليان) شكرا يا الله
Um, what?	-
Whoa, Zach.	عجباه، (زاك).
What's going on?	ما الذي يحدث؟
Well...	.... حسناً
- My ass.	مستحيل
All right, gang.	حسناً يا رفاق
No, no.	لا .
Sure.	لاحظت الملصق.
Ever?	أبداً؟
-Why not?	-لما لا ؟
Channel 83 is a little small to be considered public.	القناة 83 تعد صغيرة نوعا ما لتصبح عامة
Nice.	هذا جميل
Excuse me. Yeah.	-المعذرة
I can still do that.	مازلت أفعل ذلك
Lester?	(ليستر) ؟
- Me neither.	-ولا أنا
Did you, uh...	هل...
- Hang on.	-مهلاً
Would you?	هل؟
Nothing.	لا شيء
Yep.	نعم...
- No!	-كلا!
Toodles.	إلى اللقاء
Oh, you know.	كما تعلمون
I can't believe it.	انا مش مصدقة ..
No one has an exact number, but the financial loss reaches well into the millions.	لا أحد لديه رقم دقيق، لكن الخسارة المالية تصل للملايين
- Try to think then.	-حسن
Meaning?	مما يعني؟
Whenever We bestow favours upon man , he arrogantly turns away and draws aside ; and whenever evil visits him , he is in utter despair .	« وإذا أنعمنا على الإنسان » الكافر « أعرض » عن الشكر « ونأى بجانبه » ثنى عطفه متبخترا « وإذا مسه الشر » الفقر والشدة « كان يؤوسا » قنوطا من رحمة الله .
He's been here.	لقد كان هنا.
- Suck it.	-تباً لك
- How much?	كم؟
Butch.	بوتش.
Mum?	‫أمي؟
Can you control it?	هل يمكنكٍ أن تتحكمين بها ؟
Are you alone?	أأنت بمفردك؟
It's pathetic.	أنت مثير للشفقة
That's a good question.	هذا سؤال جيد
That's all right.	هذا حسن
You were right.	لقد كنت على حق.
The hunger.	الجوع
Pardon me.	عفوا.
Christ, Sherlock!	شارلوك
How may I help you?	كيف أستطيع مساعدتك؟
Contents	المحتويات
- (Doorbell rings) - (Poppy) Really?	اسف
What do you want?	-ماذا تريدين؟
Fifty-fourth session	الدورة الرابعة والخمسون
Maputo	Maputo
Stuff.	لا أدري... . أشياء معينة
A girl.	!
Look at that.	انظري لهذا.
Next!	التالي
Thank you.	شكرا لكم.
I do not know.	انا لا اعلم
If you're serious about this, madam, you need to be very careful.	إذا كنتِ جادة حيال ذلك سيدتي يجب بأن تكوني حذرة
I think not.	لا اعتقد هذا
Here.	تفضلي
Aah!	!
What is going on?	ماذا يحدث هنا
- Where have you been?	ـ أين كنت؟
Understand?	مفهوم؟
One, two, three.	واحد، إثنان، ثلاثة.
See? God.	هل ترى؟
No, not me.	لا ، ليس معي
- I can't!	- لا استطيع
Are you all right?	هل أنت بخير ؟
Note by the President of the Security Council	مذكرة من رئيس مجلس الأمن
Don't forget that.	لا تنسى هذه النقطة
You may call me Sam, out of love.	ما اسمك؟
Yes, I did. Which means there's no commission in this for you.	تماماً ممّا يعني لا عمولة لك
That's it.	هذا كل شيء
-How are you doing?	- كيف تَعْملُ؟
How do you figure that?	كيف عرفت هذا؟
Okay.	حسناً ، أنت بخير
Victor!	-فيكتور) )!
What happened?	ماذا حدث؟
♪ No relief ♪ We could stop right now if you want.	يمكننا أن نتوقف الآن إن أردتِ.
I see it.	أتفهم ذلك
Anytime?	أي وقت ؟
Contend not on behalf of such as betray their own souls ; for Allah loveth not one given to perfidy and crime :	ولا تدافع عن الذين يخونون أنفسهم بمعصية الله . إن الله -سبحانه- لا يحب مَن عَظُمَتْ خيانته ، وكثر ذنبه .
Excuse me.	-اَسف
Lou, please, Don't do that.	أرجوك لا تفعل هذا
Someplace nice, like a beautiful beach, or like a mountain, or...	مثل شاطئ جميل أو جبل
Grams?	جدتي ؟
It's been a while.	لقد مضت فترة
No?	لا أعلم
She just left.	غادرت فقط
Oh, God.	يالهي
We were sure the government was gonna show up on our doorstep but no one ever came.	كنا على يقين من أن الحكومة ستظهر على عتبة دارنا. لكن، لم يأتِ أحدٌ قط.
I hope so.	آمل ذلك
Right, Master.	صحيح , سيدي
There's more than that.	هنالك المزيد
Here we go.	ها نحن أولاء
I'm not sure I can.	لا أقدر
Your daughter? Yes.	ابنتك؟
Nowhere.	ليس في أي مكان.
Which reminds me.	وهذا يذكرني ..
I'm here!	أنا هنا
Thank you.	-تفضلوا من فضلكم -شكراً
You saw her?	هل رأيتها؟
Uh, I gotta go.	علي الذهاب.
Kirk.	خير، كيرك!
Seriously?	حقا ؟
Maybe... I should go up there.	ربما عليّ الذهاب إلى هناك
Tagged as Lassen?	موسمة كـ(لاسن)؟
It is God who has made the night for you to rest and has filled the day with light ( as a means of visibility ) . In this there is evidence ( of the existence of God ) for the people who hear .	هو الذي جعل لكم -أيها الناس- الليل لتسكنوا فيه وتهدؤوا من عناء الحركة في طلب المعاش ، وجعل لكم النهار ؛ لتبصروا فيه ، ولتسعَوْا لطلب رزقكم . إن في اختلاف الليل والنهار وحال أهلهما فيهما لَدلالةً وحججًا على أن الله وحده هو المستحق للعبادة ، لقوم يسمعون هذه الحجج ، ويتفكرون فيها .
Okay?	حسناً؟
Exactly.	بالضبط.
What happened out there?	ما الذي حدث هناك؟
Please.	من فضلك
God will watch your conduct and so will His Messenger and the believers . Soon you will be brought back to Him who knows what is hidden and what is manifest : then He will show you the truth of all that you have done . "	« وقل » لهم أو للناس « اعملوا » ما شئتم « فسيرى الله عملكم ورسوله والمؤمنون وستردون » بالبعث « إلى عالم الغيب والشهادة » أي الله « فينبئكم بما كنتم تعملون » فيجازيكم به .
Excuse me?	عفواً ؟
You're mean.	أنت لئيم
- Would you mind?	-هل تمانع؟
- Easily.	بسهولة
I have no idea.	ليس لدي فكرة
Get up!	انهض !
It's important.	إنه مهم
Ooh, I just found something.	لقد وجدت شيئاً
Men.	يا للرجال
No. No.	لا,لا
We're clear.	المكان آمن.
It's me.	انه انا
- I'm warning you.	-أنا أحذرك
That's enough.	هذا يكفي.
Ay, mi amor. Wow.	أحبّكِ
Help me!	ساعدوني!
Hi.	مرحباً.
It's hard to tell if he's father Christmas or father time.	من الصعب القول إذا كان أب عيد الميلاد أو أب كل الأوقات
- OK.	-حاضر
Yeah?	نعم?
Shane.	شين
How?	كيف ؟
No...	كلا...
- No, I'm not.	-لا لست كذلك
Their eyes close, their lips stretch.	عيونهم تغلق,تتمدد شفاههمتَمتدُّ...
It's late.	مع السلامه
There.	هناك.
Here!	ناقل الحركة و مكابح السرعة
- David.	-ديفيد -ماذا؟
But you just keep talking, sweetie.	لكن لا تتوقف عن الحديث ياعزيزي
Andrea.	(أندريا)
You're just wasting time.	أنتِ تضيعين الوقت فحسب
This is weird.	هذا غريب
I think I've had enough French culture for one evening.	أعتقد لقد كان ما يكفي من الثقافة الفرنسية ليلة واحدة.
Jack.	هكذا هو (جاك
Yeah...	نعم ...
- All right.	- حسنا.
I'm not sure.	لم أقرر بعد
- What? No.	-ماذا؟
What now?	. ماذا , الان ؟
Come in.	ادخل.
What do we do now?	ماذا سنفعل الآن؟
You stay here.	ابقَ هُنا.
I'm okay.	أنا بخير.
Here we go.	ها نحن
- Really?	-بربك ؟
- Send it.	؟
In the book of Genesis-- What are you, Stepford boy?	ماذا أنت , ولد صغير ؟
- Michaelangelo.	مايكل أنجلو أجل
I'm the one with the grenade launcher.	أنا الذي أحمل القنابل.
What's wrong with you?	مابالك هكذا؟
How did you find me?	كيف وجدتني؟
Bingo.	تمامًا
'Night.	ليلة سعيدة
Excuse me.	عذراً
Anybody home?	هل يوجد أحد هنا ؟
You look gorgeous.	أنتِ مذهلة
Leonardo!	(ليوناردو)
Here you go.	-تفضّل
She shouldn't have had a long ponytail, or if she did have that ponytail, it should've been up in a bun.	لم يكُنّ يجب أن يكون لديها شعرُاً طويل.. أو لو أن لديها شعرُاً طويلا، يجب أن يكون على شكل "كعكة".
Are you spying on me?	هل تتجسسين عليَّ؟
I didn't do anything.	لم أفعل بكِ أي شيء
I'm sorry.	انا اسف.
- Okay.	- حسناً.
Baby. Oh, baby. - Vicky, I'm sorry.	عزيزي.
Where's the money?	أين المال؟
That's it.	هو كذلك .
I can wait.	سأنتظر
Yeah. Well, they've been buddies ever since, so...	- أوه نعم
Good-bye.	-وداعاً
Yeah, right.	نعم , صحيح
Sittwe	سيتويburma. kgm
There he is. Hi, Carol.	ها هو ذا
- Five ten. Good, you just volunteered.	جيد انت تطوعت
I am not your average trophy wife.	أنا لست زوجتك المتوسطة
Sit down.	.أجلسي
- Oh... - But, um...	لكني...
Like what?	مثل ماذا ؟
Jude.	(جود).
Okay?	حسناً؟
We also need to know if the hydromorphone was administered intravenously or orally.	يجب أن أذهب سأقابل هيئة الجامعة
Sure.	بالطبع.
Please!	أرجوك
No, I don't think so.	لا,لا أعتقد ذلك
Oh...	...اوه
- I don't know.	- اللعنة ، لا أعرف
No, not at all.	00,288 - - 00:
Oh.	أوه.
It's cool. Big O?	هذا رائع
Henry?	(هنري)؟
Well ..	جيد..
You know, helping them relocate their hard cases.	مثل مساعدتهم في تجاوز حالاتهم الصعبة.
Keep quiet.	صمتاً
Good luck.	حظا موفقا.
Let me see.	دعني أرى.
The incubation process has begun. Serum will be ready for distribution in 48 hours.	بدأت عمليّة التحضين، سيكون المصل جاهز للتوزيع خلال 48 ساعة.
What do you think?	ماذا تعتقد؟
We're a pathetic pair, aren't we?	نحن زوج مثير للشفقة ، اليس كلك ؟
No.	-كلاّ .
That's it.	هذا هو
All right? Yeah.	مفهوم؟
Professor!	! بروفيسور
I'm home	منزلي
I'm here.	أنا هنا.
That's it?	فقط ذلك ؟
Oh...	أوه ...
Turn around.	استديري
One, two, three.	. واحد، إثنان، ثلاثة
Not anymore.	ليس بعد الأن
I didn't think I was. Look, I don't know. Ok.	لم أحسب أنّي كنتُ أفكّر بكِ، إنّي لستُ أدري ما أفعلُ يا (آنـّا).
Wait, wait.	أنتظر
Yeah!	-مرحى !
About that guy that shot you...	ـبشأنالرجلالذيأطلق النارعليك..
You take your place at the head of this table where you belong.	.... ان تأخذ ذلك المكان على رأس هذه الطاولة حيث تنتمي لها...
Yeah, Hannah, she wanted to steal something.	نعم، (هانا) أرادت سرقة شيء
If...	لو... .
Now!	الآن
With pleasure.	بكل سرور
Aigoo.	يا إلهي.
Elijah?	(إيلايجا)؟
Come here.	كل شيء على ما يُرام
I heard about you.	لقد سمعت عنكم
Where did she go?	إلى اين ذهبت ؟
You're a criminal, Snart, but you live by a code.	أنت مجرم، (سنارت)، لكن لديك مبدأ تتقيّد به يبدو الأمر إليّ وكأن (لويس)،
What's happening?	ما الذي يحصل؟
Hey... hey.	انت
The man can hardly carry his own weight.	إن الرجل بالكاد يقدر أن يحمل وزنه
